Date,Open,High,Low,Close,Adj Close,Volume
2018-07-30,25422,25475,25264,25285,25285,152238
2018-07-31,25304,25486,25272,25395,25395,148713
2018-08-01,25472,25472,25247,25289,25289,142699
2018-08-02,25313,25332,25087,25305,25305,155369
2018-08-03,25327,25437,25260,25410,25410,115235
2018-08-06,25424,25508,25346,25468,25468,96912
2018-08-07,25473,25661,25460,25600,25600,108087
2018-08-08,25620,25632,25501,25536,25536,97164
2018-08-09,25505,25603,25459,25493,25493,96582
2018-08-10,25478,25490,25215,25331,25331,174863
2018-08-13,25333,25371,25141,25215,25215,166859
2018-08-14,25224,25334,25192,25294,25294,122398
2018-08-15,25318,25318,24955,25187,25187,222573
2018-08-16,25209,25608,25147,25592,25592,170510
2018-08-17,25578,25731,25506,25674,25674,148777
2018-08-20,25703,25791,25663,25758,25758,102528
2018-08-21,25754,25885,25721,25807,25807,106828
2018-08-22,25733,25836,25677,25717,25717,120095
2018-08-23,25731,25767,25607,25671,25671,127109
2018-08-24,25682,25828,25653,25792,25792,111236
2018-08-27,25809,26089,25805,26077,26077,108051
2018-08-28,26079,26156,26044,26085,26085,110164
2018-08-29,26092,26185,26050,26147,26147,104664
2018-08-30,26155,26168,25946,26010,26010,141399
2018-08-31,25974,26049,25896,25988,25988,133440
2018-09-04,26021,26080,25817,25985,25985,180653
2018-09-05,26000,26026,25841,25973,25973,173923
2018-09-06,25990,26100,25894,26025,26025,201868
2018-09-07,26003,26038,25833,25959,25959,206054
2018-09-10,25940,26061,25874,25905,25905,145079
2018-09-11,25897,26038,25764,26002,26002,153176
2018-09-12,26008,26164,25940,26014,26014,198741
2018-09-13,26004,26203,25980,26160,26160,162906
2018-09-14,26161,26237,26078,26158,26158,108420
2018-09-17,26159,26195,26042,26076,26076,81130
2018-09-18,26068,26331,25966,26274,26274,58830
2018-09-19,26290,26477,26237,26434,26434,56272
2018-09-20,26448,26717,26430,26696,26696,36176
2018-09-21,26689,26797,26689,26772.03906,26772.03906,145752
2018-09-24,26709,26739,26577,26610,26610,148656
2018-09-25,26621,26704,26501,26520,26520,136466
2018-09-26,26524,26627,26369,26419,26419,152942
2018-09-27,26417,26576,26357,26473,26473,163378
2018-09-28,26498,26534,26347,26476,26476,177168
2018-10-01,26524,26754,26516,26678,26678,164208
2018-10-02,26685,26837,26552,26807,26807,164667
2018-10-03,26813,26966,26776,26872,26872,166493
2018-10-04,26832,26832,26483,26652,26652,266898
2018-10-05,26671,26736,26311,26492,26492,273829
2018-10-08,26520,26549,26226,26544,26544,222641
2018-10-09,26531,26562,26337,26481,26481,235037
2018-10-10,26472,26522,25431,25519,25519,413483
2018-10-11,25456,25680,24893,25185,25185,696205
2018-10-12,25209,25545,24990,25316,25316,438111
2018-10-15,25344,25471,25111,25201,25201,294513
2018-10-16,25166,25805,25166,25782,25782,250411
2018-10-17,25725,25845,25461,25736,25736,270453
2018-10-18,25704,25726,25217,25381,25381,314790
2018-10-19,25383,25596,25338,25428,25428,267838
2018-10-22,25369,25566,25220,25294,25294,229965
2018-10-23,25297,25310,24750,25244,25244,344634
2018-10-24,25240,25338,24511,24616,24616,348985
2018-10-25,24724,25079,24571,24877,24877,321207
2018-10-26,24804,24885,24415,24746,24746,430291
2018-10-29,24715,25007,24086,24431,24431,371503
2018-10-30,24368,24900,24330,24859,24859,345523
2018-10-31,24882,25303,24823,25077,25077,246406
2018-11-01,25047,25362,25046,25325,25325,214660
2018-11-02,25208,25684,25035,25241,25241,304443
2018-11-05,25220,25465,25131,25441,25441,175812
2018-11-06,25442,25660,25365,25641,25641,152627
2018-11-07,25621,26198,25534,26182,26182,245257
2018-11-08,26182,26268,26069,26200,26200,177079
2018-11-09,26183,26236,25874,25973,25973,208227
2018-11-12,25975,26096,25334,25381,25381,247423
2018-11-13,25405,25566,25181,25330,25330,276955
2018-11-14,25368,25489,24922,25044,25044,294560
2018-11-15,25073,25349,24782,25305,25305,350722
2018-11-16,25311,25505,25096,25451,25451,238921
2018-11-19,25385,25492,24890,25029,25029,248295
2018-11-20,25026,25042,24355,24437,24437,338527
2018-11-21,24434,24659,24382,24465,24465,200252
2018-11-26,24275,24664,24270,24599,24599,189542
2018-11-27,24504,24781,24404,24742,24742,231349
2018-11-28,24772,25370,24727,25344,25344,248227
2018-11-29,25325,25483,25206,25391,25391,195522
2018-11-30,25378,25602,25223,25539,25539,167055
2018-12-03,25813,26088,25685,25846,25846,246839
2018-12-04,25840,25840,24999,25046,25046,333857
2018-12-06,25133,25141,24256,24907,24907,487528
2018-12-07,24918,25114,24297,24432,24432,396882
2018-12-10,24313,24517,23894,24490,24490,431767
2018-12-11,24475,24823,24231,24422,24422,347238
2018-12-12,24352,24844,24336,24566,24566,282640
2018-12-13,24574,24753,24481,24571,24571,274391
2018-12-14,24586,24610,24042,24113,24113,173885
2018-12-17,24003,24226,23462,23672,23672,153482
2018-12-18,23685,23939,23528,23602,23602,109462
2018-12-19,23536,24086,23168,23316,23316,79979
2018-12-20,23316,23449,22644,23002,23002,55977
2018-12-21,23032,23088,22785.2793,22785.2793,22785.2793,425491
2018-12-26,21730,22969,21452,22898,22898,359441
2018-12-27,22875,23200,22242,23153,23153,359456
2018-12-28,23118,23372,22957,23035,23035,317883
2018-12-31,23134,23352,23090,23268,23268,173053
2019-01-02,23320,23417,22786,23325,23325,315923
2019-01-03,23065,23123,22615,22659,22659,346019
2019-01-04,22708,23504,22563,23395,23395,320826
2019-01-07,23470,23668,23279,23512,23512,238574
2019-01-08,23530,23848,23497,23743,23743,246033
2019-01-09,23724,23966,23712,23830,23830,235891
2019-01-10,23826,23999,23640,23953,23953,228649
2019-01-11,23958,23994,23765,23950,23950,173649
2019-01-14,23919,23937,23696,23867,23867,163417
2019-01-15,23867,24073,23825,23984,23984,224202
2019-01-16,23981,24259,23959,24151,24151,184061
2019-01-17,24160,24449,24010,24321,24321,201765
2019-01-18,24336,24745,24298,24687,24687,215532
2019-01-22,24690,24702,24216,24390,24390,280459
2019-01-23,24390,24673,24276,24551,24551,250043
2019-01-24,24512,24608,24386,24458,24458,209709
2019-01-25,24476,24830,24458,24696,24696,195062
2019-01-28,24665,24712,24284,24473,24473,210986
2019-01-29,24458,24638,24350,24553,24553,180579
2019-01-30,24635,25068,24540,24968,24968,242154
2019-01-31,24931,25046,24796,24976,24976,230827
2019-02-01,25015,25143,24933,24996,24996,200835
2019-02-04,24939,25198,24924,25188,25188,140106
2019-02-05,25170,25374,25141,25324,25324,159440
2019-02-06,25325,25387,25257,25327,25327,157030
2019-02-07,25311,25331,24965,25131,25131,274561
2019-02-08,25118,25124,24862,25081,25081,223285
2019-02-11,25089,25226,24981,25017,25017,183968
2019-02-12,25012,25439,25002,25406,25406,172650
2019-02-13,25396,25606,25385,25488,25488,170326
2019-02-14,25496,25622,25304,25427,25427,241761
2019-02-15,25407,25907,25275,25888,25888,216960
2019-02-19,25886,25957,25789,25883,25883,206825
2019-02-20,25880,25985,25825,25964,25964,187898
2019-02-21,25964,26082,25753,25833,25833,207240
2019-02-22,25833,26044,25805,26002,26002,179512
2019-02-25,26074,26238,26040,26099,26099,175462
2019-02-26,26096,26150,25954,26037,26037,194075
2019-02-27,26009,26056,25872,26008,26008,174322
2019-02-28,26028,26028,25878,25913,25913,179959
2019-03-01,25923,26143,25894,26031,26031,178642
2019-03-04,26107,26171,25605,25814,25814,293705
2019-03-05,25809,25890,25721,25827,25827,172953
2019-03-06,25790,25832,25625,25666,25666,198158
2019-03-07,25668,25707,25338,25467,25467,275341
2019-03-08,25449,25522,25213,25495,25495,159398
2019-03-11,25465,25694,25218,25653,25653,113227
2019-03-12,25666,25759,25512,25553,25553,81963
2019-03-13,25580,25775,25461,25735,25735,63401
2019-03-14,25761,25795,25624,25710,25710,39428
2019-03-15,25700,25856,25681,25758.89063,25758.89063,213647
2019-03-18,25862,25976,25810,25965,25965,138471
2019-03-19,25967,26145,25847,25906,25906,201555
2019-03-20,25913,25967,25696,25729,25729,235252
2019-03-21,25702,26044,25608,26011,26011,227962
2019-03-22,25982,26036,25529,25570,25570,291875
2019-03-25,25573,25647,25377,25577,25577,248236
2019-03-26,25596,25822,25561,25676,25676,199333
2019-03-27,25676,25781,25441,25660,25660,242937
2019-03-28,25622,25762,25526,25737,25737,181851
2019-03-29,25730,25964,25723,25933,25933,191218
2019-04-01,25976,26288,25976,26258,26258,158713
2019-04-02,26235,26280,26126,26153,26153,155142
2019-04-03,26146,26302,26133,26240,26240,175360
2019-04-04,26292,26410,26196,26388,26388,173294
2019-04-05,26388,26509,26362,26394,26394,157732
2019-04-08,26389,26412,26248,26334,26334,133521
2019-04-09,26345,26349,26104,26158,26158,156731
2019-04-10,26144,26233,26107,26166,26166,132461
2019-04-11,26189,26229,26060,26133,26133,156461
2019-04-12,26153,26441,26141,26408,26408,173271
2019-04-15,26406,26476,26317,26373,26373,135953
2019-04-16,26390,26554,26377,26447,26447,189117
2019-04-17,26430,26518,26383,26428,26428,182978
2019-04-18,26434,26599,26311,26566,26566,181027
2019-04-22,26565,26629,26448,26513,26513,122912
2019-04-23,26521,26689,26462,26639,26639,165638
2019-04-24,26651,26694,26518,26541,26541,139857
2019-04-25,26536,26577,26292,26440,26440,189570
2019-04-26,26415,26530,26346,26517,26517,168330
2019-04-29,26500,26584,26484,26548,26548,117095
2019-04-30,26562,26653,26398,26584,26584,186152
2019-05-01,26646,26691,26333,26390,26390,178492
2019-05-02,26339,26461,26148,26265,26265,258245
2019-05-03,26273,26518,26245,26499,26499,169687
2019-05-06,26284,26447,25932,26405,26405,282576
2019-05-07,26220,26394,25751,25973,25973,378147
2019-05-08,25947,26079,25799,26014,26014,306195
2019-05-09,25983,25994,25500,25816,25816,364960
2019-05-10,25796,26016,25464,25964,25964,368236
2019-05-13,25764,25818,25215,25281,25281,357279
2019-05-14,25278,25677,25217,25570,25570,250534
2019-05-15,25569,25714,25326,25674,25674,255281
2019-05-16,25670,25955,25554,25867,25867,232025
2019-05-17,25879,25949,25628,25780,25780,280261
2019-05-20,25776,25901,25554,25696,25696,246483
2019-05-21,25719,25895,25711,25875,25875,208634
2019-05-22,25860,25904,25733,25771,25771,196584
2019-05-23,25779,25779,25320,25463,25463,300183
2019-05-24,25494,25664,25457,25620,25620,201024
2019-05-28,25609,25717,25330,25369,25369,262852
2019-05-29,25355,25377,24937,25109,25109,300809
2019-05-30,25106,25218,25057,25190,25190,202295
2019-05-31,25178,25191,24789,24820,24820,276429
2019-06-03,24743,24938,24610,24869,24869,322942
2019-06-04,24917,25364,24825,25346,25346,251904
2019-06-05,25349,25573,25344,25558,25558,219206
2019-06-06,25530,25807,25437,25745,25745,202029
2019-06-07,25701,26085,25683,26007,26007,202194
2019-06-10,26150,26289,26048,26086,26086,183856
2019-06-11,26100,26261,26009,26065,26065,181046
2019-06-12,26064,26098,25961,26012,26012,153257
2019-06-13,26020,26153,25891,26117,26117,175894
2019-06-14,26129,26177,26003,26123,26123,114677
2019-06-17,26117,26212,26058,26131,26131,69027
2019-06-18,26150,26542,26070,26495,26495,84765
2019-06-19,26473,26585,26422,26529,26529,55742
2019-06-20,26520,26804,26510,26763,26763,34547
2019-06-21,26761,26783,26680,26745.58008,26745.58008,203126
2019-06-24,26674,26815,26662,26762,26762,136483
2019-06-25,26758,26827,26539,26562,26562,216578
2019-06-26,26567,26703,26509,26550,26550,180306
2019-06-27,26521,26665,26445,26546,26546,172212
2019-06-28,26563,26672,26521,26593,26593,161238
2019-07-01,26816,26896,26609,26700,26700,202630
2019-07-02,26695,26805,26621,26797,26797,163500
2019-07-05,26973,27009,26728,26885,26885,199744
2019-07-08,26890,26924,26742,26793,26793,147096
2019-07-09,26794,26807,26657,26779,26779,150793
2019-07-10,26782,26983,26688,26860,26860,209429
2019-07-11,26859,27092,26851,27077,27077,184871
2019-07-12,27072,27330,27070,27309,27309,146908
2019-07-15,27303,27397,27263,27342,27342,129820
2019-07-16,27346,27396,27280,27328,27328,134696
2019-07-17,27318,27377,27184,27231,27231,135792
2019-07-18,27164,27304,27057,27201,27201,190637
2019-07-19,27305,27342,27071,27130,27130,194392
2019-07-22,27106,27216,27078,27176,27176,144409
2019-07-23,27174,27358,27159,27324,27324,137719
2019-07-24,27306,27346,27175,27237,27237,155965
2019-07-25,27250,27349,27040,27096,27096,196815
2019-07-26,27084,27193,27077,27149,27149,120612
2019-07-29,27143,27255,27112,27198,27198,111350
2019-07-30,27218,27252,27042,27164,27164,148117
2019-07-31,27208,27258,26693,26855,26855,239800
2019-08-01,26750,27147,26512,26543,26543,354565
2019-08-02,26517,26663,26213,26449,26449,359330
2019-08-05,26431,26460,25475,25550,25550,399217
2019-08-06,25458,25998,25032,25924,25924,356709
2019-08-07,25897,26035,25392,25940,25940,352239
2019-08-08,25935,26373,25846,26365,26365,228936
2019-08-09,26286,26394,26074,26268,26268,260221
2019-08-12,26263,26353,25803,25867,25867,215254
2019-08-13,25872,26408,25750,26314,26314,291674
2019-08-14,26302,26352,25410,25455,25455,340944
2019-08-15,25373,25707,25226,25575,25575,326623
2019-08-16,25585,25929,25576,25907,25907,196934
2019-08-19,25912,26237,25912,26118,26118,152096
2019-08-20,26102,26198,25885,25931,25931,157400
2019-08-21,25883,26265,25872,26226,26226,139879
2019-08-22,26244,26375,26086,26225,26225,175622
2019-08-23,26225,26347,25492,25670,25670,339653
2019-08-26,25462,25986,25266,25943,25943,279427
2019-08-27,25924,26069,25711,25744,25744,236943
2019-08-28,25756,26044,25620,26037,26037,210924
2019-08-29,25992,26407,25930,26378,26378,187180
2019-08-30,26366,26559,26299,26406,26406,192172
2019-09-03,26243,26372,25977,26122,26122,286417
2019-09-04,26102,26388,26083,26372,26372,176054
2019-09-05,26372,26844,26355,26701,26701,222265
2019-09-06,26688,26869,26686,26808,26808,143551
2019-09-09,26807,26913,26771,26840,26840,136590
2019-09-10,26853,26919,26717,26894,26894,171654
2019-09-11,26901,27169,26849,27144,27144,158602
2019-09-12,27158,27320,27110,27198,27198,204364
2019-09-13,27194,27326,27193,27218,27218,118924
2019-09-16,27121,27180,27014,27084,27084,93737
2019-09-17,27114,27142,26988,27114,27114,59077
2019-09-18,27124,27185,26909,27148,27148,50736
2019-09-19,27169,27274,27001,27086,27086,40322
2019-09-20,27091,27167,27076,27140.91016,27140.91016,158528
2019-09-23,26923,27045,26803,26963,26963,147365
2019-09-24,27006,27112,26686,26818,26818,240008
2019-09-25,26833,27015,26715,26958,26958,199414
2019-09-26,26962,27042,26782,26892,26892,184044
2019-09-27,26896,26992,26689,26796,26796,225720
2019-09-30,26898,26971,26804,26901,26901,131797
2019-10-01,26961,27040,26515,26521,26521,204735
2019-10-02,26553,26617,25931,25985,25985,240232
2019-10-03,26003,26186,25703,26180,26180,271794
2019-10-04,26160,26549,26060,26525,26525,190606
2019-10-07,26372,26615,26339,26439,26439,155862
2019-10-08,26418,26549,26092,26138,26138,234008
2019-10-09,26139,26400,26086,26305,26305,165144
2019-10-10,26322,26599,25983,26484,26484,219328
2019-10-11,26544,26975,26496,26775,26775,237623
2019-10-14,26761,26894,26637,26746,26746,123162
2019-10-15,26751,27079,26750,27002,27002,153083
2019-10-16,27000,27017,26890,26940,26940,137346
2019-10-17,26933,27088,26876,26993,26993,144360
2019-10-18,26995,27023,26726,26754,26754,149070
2019-10-21,26725,26837,26701,26797,26797,112065
2019-10-22,26798,26904,26715,26763,26763,143610
2019-10-23,26752,26852,26588,26802,26802,147111
2019-10-24,26819,26872,26655,26780,26780,152055
2019-10-25,26776,26967,26710,26904,26904,129494
2019-10-28,26931,27120,26926,27053,27053,137575
2019-10-29,27062,27111,26967,27042,27042,125026
2019-10-30,27053,27230,26940,27132,27132,146042
2019-10-31,27172,27180,26847,26982,26982,197544
2019-11-01,26992,27278,26959,27259,27259,156759
2019-11-04,27278,27450,27274,27380,27380,135057
2019-11-05,27402,27493,27366,27421,27421,126855
2019-11-06,27420,27470,27337,27430,27430,129297
2019-11-07,27454,27739,27390,27667,27667,159355
2019-11-08,27672,27717,27541,27631,27631,125901
2019-11-11,27645,27673,27470,27658,27658,123436
2019-11-12,27658,27732,27597,27663,27663,134410
2019-11-13,27661,27771,27524,27761,27761,160990
2019-11-14,27772,27806,27633,27746,27746,143715
2019-11-15,27750,27971,27736,27953,27953,136561
2019-11-18,27960,28059,27926,28008,28008,127718
2019-11-19,28013,28128,27851,27895,27895,151389
2019-11-20,27884,27884,27643,27800,27800,189292
2019-11-21,27726,27846,27654,27748,27748,163143
2019-11-22,27754,27884,27722,27862,27862,128358
2019-11-25,27927,28045,27904,28039,28039,96942
2019-11-26,28025,28149,27999,28130,28130,118715
2019-11-27,28122,28173,28058,28148,28148,99873
2019-12-02,28082,28197,27772,27789,27789,226061
2019-12-03,27788,27847,27312,27487,27487,260953
2019-12-04,27478,27727,27397,27643,27643,182074
2019-12-05,27644,27773,27558,27678,27678,164776
2019-12-06,27688,28039,27675,28014,28014,150639
2019-12-09,28020,28047,27878,27902,27902,109241
2019-12-10,27901,27959,27726,27921,27921,164907
2019-12-11,27924,27981,27804,27924,27924,140780
2019-12-12,27933,28230,27856,28131,28131,239172
2019-12-13,28181,28303,28036,28168,28168,168864
2019-12-16,28192,28345,28159,28253,28253,78480
2019-12-17,28235,28335,28173,28276,28276,70689
2019-12-18,28257,28327,28238,28266,28266,38628
2019-12-19,28275,28416,28242,28386,28386,34961
2019-12-20,28390,28605.58008,28373,28605.58008,28605.58008,146964
2019-12-23,28491,28583,28475,28550,28550,93613
2019-12-26,28518,28624,28510,28619,28619,59115
2019-12-27,28603,28721,28596,28610,28610,121521
2019-12-30,28618,28660,28403,28440,28440,165288
2019-12-31,28427,28553,28341,28508,28508,127526
2020-01-02,28553,28871,28538,28841,28841,183583
2020-01-03,28844,28893,28431,28602,28602,245778
2020-01-06,28494,28700,28351,28642,28642,218793
2020-01-07,28636,28739,28446,28526,28526,198208
2020-01-08,28502,28833,28084,28770,28770,337249
2020-01-09,28772,28953,28745,28929,28929,181585
2020-01-10,28930,29022,28751,28777,28777,183361
2020-01-13,28775,28907,28775,28871,28871,141633
2020-01-14,28874,29015,28737,28934,28934,232554
2020-01-15,28934,29090,28838,29029,29029,224025
2020-01-16,29034,29263,29032,29240,29240,152873
2020-01-17,29245,29362,29242,29279,29279,170084
2020-01-21,29280,29318,29108,29179,29179,238628
2020-01-22,29177,29309,29093,29140,29140,192697
2020-01-23,29112,29150,28924,29127,29127,232278
2020-01-24,29129,29241,28796,28933,28933,301305
2020-01-27,28720,28732,28405,28481,28481,363768
2020-01-28,28479,28780,28471,28710,28710,261243
2020-01-29,28736,28888,28650,28710,28710,235907
2020-01-30,28718,28843,28432,28791,28791,347453
2020-01-31,28838,28881,28105,28196,28196,369128
2020-02-03,28159,28573,28136,28361,28361,269200
2020-02-04,28366,28847,28287,28789,28789,222741
2020-02-05,28776,29275,28692,29241,29241,276317
2020-02-06,29248,29475,29186,29328,29328,238290
2020-02-07,29357,29367,29006,29044,29044,228295
2020-02-10,29021,29250,28850,29245,29245,198764
2020-02-11,29237,29395,29162,29229,29229,198861
2020-02-12,29261,29538,29209,29523,29523,172696
2020-02-13,29529,29543,29245,29432,29432,220172
2020-02-14,29446,29519,29267,29395,29395,174890
2020-02-18,29384,29476,29100,29211,29211,268667
2020-02-19,29240,29397,29232,29337,29337,153041
2020-02-20,29366,29434,28931,29171,29171,288117
2020-02-21,29154,29176,28871,28981,28981,322584
2020-02-24,28745,28754,27887,27968,27968,503595
2020-02-25,27927,28234,26976,27117,27117,571418
2020-02-26,27124,27519,26692,26914,26914,588272
2020-02-27,26820,26977,25500,25552,25552,689083
2020-02-28,25522,25772,24675,25364,25364,735823
2020-03-02,25196,26711,24851,26468,26468,637915
2020-03-03,26562,27059,25679,25880,25880,607045
